ID,GRIDX,GRIDY,ENTITYHAND,x,y
1347655_346511,1347654,346511,20000,0,0
1347655_346512,1347654,346512,20001,1,0
1347655_346513,1347654,346513,20002,2,0
1347655_346514,1347654,346514,20003,3,0
1347655_346515,1347654,346515,20004,4,0
1347655_346516,1347654,346516,20005,5,0
1347655_346517,1347654,346517,20006,6,0
1347655_346518,1347654,346518,20007,7,0
1347655_346519,1347654,346519,20008,8,0
1347655_346520,1347654,346520,20009,9,0
1347655_346521,1347654,346521,2000A,10,0
1347655_346522,1347654,346522,2000B,11,0
1347655_346523,1347654,346523,2000C,12,0
1347655_346524,1347654,346524,2000D,13,0
1347655_346525,1347654,346525,2000E,14,0
1347655_346526,1347654,346526,2000F,15,0
1347655_346527,1347654,346527,20010,16,0
1347655_346528,1347654,346528,20011,17,0
1347655_346529,1347654,346529,20012,18,0
1347655_346530,1347654,346530,20013,19,0
1347655_346531,1347654,346531,20014,20,0
1347655_346532,1347654,346532,20015,21,0
1347655_346533,1347654,346533,20016,22,0
1347655_346534,1347654,346534,20017,23,0
1347655_346535,1347654,346535,20018,24,0
1347655_346536,1347654,346536,20019,25,0
1347655_346537,1347654,346537,2001A,26,0
1347655_346538,1347654,346538,2001B,27,0
1347655_346539,1347654,346539,2001C,28,0
1347655_346540,1347654,346540,2001D,29,0
1347655_346541,1347654,346541,2001E,30,0
1347655_346542,1347654,346542,2001F,31,0
1347655_346543,1347654,346543,20020,32,0
1347655_346544,1347654,346544,20021,33,0
1347655_346545,1347654,346545,20022,34,0
1347655_346546,1347654,346546,20023,35,0
1347655_346547,1347654,346547,20024,36,0
1347655_346548,1347654,346548,20025,37,0
1347655_346549,1347654,346549,20026,38,0
1347655_346550,1347654,346550,20027,39,0
1347655_346551,1347654,346551,20028,40,0
1347655_346552,1347654,346552,20029,41,0
1347655_346553,1347654,346553,2002A,42,0
1347655_346554,1347654,346554,2002B,43,0
1347655_346555,1347654,346555,2002C,44,0
1347655_346556,1347654,346556,2002D,45,0
1347655_346557,1347654,346557,2002E,46,0
1347655_346558,1347654,346558,2002F,47,0
1347655_346559,1347654,346559,20030,48,0
1347655_346560,1347654,346560,20031,49,0
1347655_346561,1347654,346561,20032,50,0
1347655_346562,1347654,346562,20033,51,0
1347655_346563,1347654,346563,20034,52,0
1347655_346564,1347654,346564,20035,53,0
1347655_346565,1347654,346565,20036,54,0
1347655_346566,1347654,346566,20037,55,0
1347655_346567,1347654,346567,20038,56,0
1347655_346568,1347654,346568,20039,57,0
1347655_346569,1347654,346569,2003A,58,0
1347655_346570,1347654,346570,2003B,59,0
1347655_346571,1347654,346571,2003C,60,0
1347655_346572,1347654,346572,2003D,61,0
1347655_346573,1347654,346573,2003E,62,0
1347655_346574,1347654,346574,2003F,63,0
1347655_346575,1347654,346575,20040,64,0
1347655_346576,1347654,346576,20041,65,0
1347655_346577,1347654,346577,20042,66,0
1347655_346578,1347654,346578,20043,67,0
1347655_346579,1347654,346579,20044,68,0
1347655_346580,1347654,346580,20045,69,0
1347655_346581,1347654,346581,20046,70,0
1347655_346582,1347654,346582,20047,71,0
1347655_346583,1347654,346583,20048,72,0
1347655_346584,1347654,346584,20049,73,0
1347655_346585,1347654,346585,2004A,74,0
1347655_346586,1347654,346586,2004B,75,0
1347655_346587,1347654,346587,2004C,76,0
1347655_346588,1347654,346588,2004D,77,0
1347655_346589,1347654,346589,2004E,78,0
1347655_346590,1347654,346590,2004F,79,0
1347655_346591,1347654,346591,20050,80,0
