ID,ENTITYHAND,GRIDX,GRIDY,NEWIDX,NEWIDY
1347810_346620,23BC7,1347810,346620,8,133
1347810_346619,23BC8,1347810,346619,9,133
1347810_346618,23BC9,1347810,346618,10,133
1347810_346617,23BCA,1347810,346617,11,133
1347810_346616,23BCB,1347810,346616,12,133
1347810_346615,23BCC,1347810,346615,13,133
1347810_346614,23BCD,1347810,346614,14,133
1347810_346613,23BCE,1347810,346613,15,133
1347810_346612,23BCF,1347810,346612,16,133
1347810_346611,23BD0,1347810,346611,17,133
1347810_346610,23BD1,1347810,346610,18,133
1347810_346609,23BD2,1347810,346609,19,133
1347810_346608,23BD3,1347810,346608,20,133
1347810_346607,23BD4,1347810,346607,21,133
1347810_346606,23BD5,1347810,346606,22,133
1347810_346605,23BD6,1347810,346605,23,133
1347810_346604,23BD7,1347810,346604,24,133
1347810_346603,23BD8,1347810,346603,25,133
1347810_346602,23BD9,1347810,346602,26,133
1347810_346601,23BDA,1347810,346601,27,133
1347810_346600,23BDB,1347810,346600,28,133
1347810_346599,23BDC,1347810,346599,29,133
1347810_346598,23BDD,1347810,346598,30,133
1347810_346597,23BDE,1347810,346597,31,133
1347810_346596,23BDF,1347810,346596,32,133
1347810_346595,23BE0,1347810,346595,33,133
1347810_346594,23BE1,1347810,346594,34,133
1347810_346593,23BE2,1347810,346593,35,133
1347810_346592,23BE3,1347810,346592,36,133
1347810_346591,23BE4,1347810,346591,37,133
1347810_346590,23BE5,1347810,346590,38,133
1347810_346589,23BE6,1347810,346589,39,133
1347810_346588,23BE7,1347810,346588,40,133
1347810_346587,23BE8,1347810,346587,41,133
1347810_346586,23BE9,1347810,346586,42,133
1347810_346585,23BEA,1347810,346585,43,133
1347810_346584,23BEB,1347810,346584,44,133
1347810_346583,23BEC,1347810,346583,45,133
1347810_346582,23BED,1347810,346582,46,133
1347810_346581,23BEE,1347810,346581,47,133
1347810_346580,23BEF,1347810,346580,48,133
1347810_346579,23BF0,1347810,346579,49,133
1347810_346578,23BF1,1347810,346578,50,133
1347810_346577,23BF2,1347810,346577,51,133
1347810_346576,23BF3,1347810,346576,52,133
1347810_346575,23BF4,1347810,346575,53,133
1347810_346574,23BF5,1347810,346574,54,133
1347810_346573,23BF6,1347810,346573,55,133
1347810_346572,23BF7,1347810,346572,56,133
1347810_346571,23BF8,1347810,346571,57,133
1347810_346570,23BF9,1347810,346570,58,133
1347810_346569,23BFA,1347810,346569,59,133
1347810_346568,23BFB,1347810,346568,60,133
1347810_346567,23BFC,1347810,346567,61,133
1347810_346566,23BFD,1347810,346566,62,133
1347810_346565,23BFE,1347810,346565,63,133
1347810_346564,23BFF,1347810,346564,64,133
1347810_346563,23C00,1347810,346563,65,133
1347810_346562,23C01,1347810,346562,66,133
1347810_346561,23C02,1347810,346561,67,133
1347810_346560,23C03,1347810,346560,68,133
1347810_346559,23C04,1347810,346559,69,133
1347810_346558,23C05,1347810,346558,70,133
1347810_346557,23C06,1347810,346557,71,133
1347810_346556,23C07,1347810,346556,72,133
1347810_346555,23C08,1347810,346555,73,133
1347810_346554,23C09,1347810,346554,74,133
1347810_346553,23C0A,1347810,346553,75,133
1347810_346552,23C0B,1347810,346552,76,133
1347810_346551,23C0C,1347810,346551,77,133
1347810_346550,23C0D,1347810,346550,78,133
1347807_346532,23AC6,1347807,346532,96,130
1347807_346531,23AC7,1347807,346531,97,130
1347807_346530,23AC8,1347807,346530,98,130
1347807_346529,23AC9,1347807,346529,99,130
1347807_346528,23ACA,1347807,346528,100,130
1347807_346527,23ACB,1347807,346527,101,130
1347807_346526,23ACC,1347807,346526,102,130
1347807_346525,23ACD,1347807,346525,103,130
1347807_346524,23ACE,1347807,346524,104,130
1347807_346523,23ACF,1347807,346523,105,130
1347807_346522,23AD0,1347807,346522,106,130
1347807_346521,23AD1,1347807,346521,107,130
1347807_346520,23AD2,1347807,346520,108,130
1347807_346519,23AD3,1347807,346519,109,130
1347807_346518,23AD4,1347807,346518,110,130
1347807_346517,23AD5,1347807,346517,111,130
1347807_346516,23AD6,1347807,346516,112,130
1347807_346515,23AD7,1347807,346515,113,130
1347807_346514,23AD8,1347807,346514,114,130
1347808_346628,23AD9,1347808,346628,0,131
1347808_346627,23ADA,1347808,346627,1,131
1347808_346626,23ADB,1347808,346626,2,131
1347808_346625,23ADC,1347808,346625,3,131
1347808_346624,23ADD,1347808,346624,4,131
1347808_346623,23ADE,1347808,346623,5,131
1347808_346622,23ADF,1347808,346622,6,131
1347808_346621,23AE0,1347808,346621,7,131
1347808_346620,23AE1,1347808,346620,8,131
1347808_346619,23AE2,1347808,346619,9,131
1347808_346618,23AE3,1347808,346618,10,131
1347808_346617,23AE4,1347808,346617,11,131
1347808_346616,23AE5,1347808,346616,12,131
1347808_346615,23AE6,1347808,346615,13,131
1347808_346614,23AE7,1347808,346614,14,131
1347808_346613,23AE8,1347808,346613,15,131
1347808_346612,23AE9,1347808,346612,16,131
1347808_346611,23AEA,1347808,346611,17,131
1347808_346610,23AEB,1347808,346610,18,131
1347808_346609,23AEC,1347808,346609,19,131
1347808_346608,23AED,1347808,346608,20,131
1347808_346607,23AEE,1347808,346607,21,131
1347808_346606,23AEF,1347808,346606,22,131
1347808_346605,23AF0,1347808,346605,23,131
1347808_346604,23AF1,1347808,346604,24,131
1347808_346603,23AF2,1347808,346603,25,131
1347808_346602,23AF3,1347808,346602,26,131
1347808_346601,23AF4,1347808,346601,27,131
1347808_346600,23AF5,1347808,346600,28,131
1347808_346599,23AF6,1347808,346599,29,131
1347808_346598,23AF7,1347808,346598,30,131
1347808_346597,23AF8,1347808,346597,31,131
1347808_346596,23AF9,1347808,346596,32,131
1347808_346595,23AFA,1347808,346595,33,131
1347808_346594,23AFB,1347808,346594,34,131
1347808_346593,23AFC,1347808,346593,35,131
1347808_346592,23AFD,1347808,346592,36,131
1347808_346591,23AFE,1347808,346591,37,131
1347808_346590,23AFF,1347808,346590,38,131
1347808_346589,23B00,1347808,346589,39,131
1347808_346588,23B01,1347808,346588,40,131
1347808_346587,23B02,1347808,346587,41,131
1347808_346586,23B03,1347808,346586,42,131
1347808_346585,23B04,1347808,346585,43,131
1347808_346584,23B05,1347808,346584,44,131
1347808_346583,23B06,1347808,346583,45,131
1347808_346582,23B07,1347808,346582,46,131
1347808_346581,23B08,1347808,346581,47,131
1347808_346580,23B09,1347808,346580,48,131
1347808_346579,23B0A,1347808,346579,49,131
1347808_346578,23B0B,1347808,346578,50,131
1347808_346577,23B0C,1347808,346577,51,131
1347808_346576,23B0D,1347808,346576,52,131
1347808_346575,23B0E,1347808,346575,53,131
1347808_346574,23B0F,1347808,346574,54,131
1347808_346573,23B10,1347808,346573,55,131
1347808_346572,23B11,1347808,346572,56,131
1347808_346571,23B12,1347808,346571,57,131
1347808_346570,23B13,1347808,346570,58,131
1347808_346569,23B14,1347808,346569,59,131
1347808_346568,23B15,1347808,346568,60,131
1347808_346567,23B16,1347808,346567,61,131
1347808_346566,23B17,1347808,346566,62,131
1347808_346565,23B18,1347808,346565,63,131
1347808_346564,23B19,1347808,346564,64,131
1347808_346563,23B1A,1347808,346563,65,131
1347808_346562,23B1B,1347808,346562,66,131
1347808_346561,23B1C,1347808,346561,67,131
1347808_346560,23B1D,1347808,346560,68,131
1347808_346559,23B1E,1347808,346559,69,131
1347808_346558,23B1F,1347808,346558,70,131
1347808_346557,23B20,1347808,346557,71,131
1347808_346556,23B21,1347808,346556,72,131
1347808_346555,23B22,1347808,346555,73,131
1347811_346571,23C6B,1347811,346571,57,134
1347811_346570,23C6C,1347811,346570,58,134
1347811_346569,23C6D,1347811,346569,59,134
1347811_346568,23C6E,1347811,346568,60,134
1347811_346567,23C6F,1347811,346567,61,134
1347811_346566,23C70,1347811,346566,62,134
1347811_346565,23C71,1347811,346565,63,134
1347811_346564,23C72,1347811,346564,64,134
1347811_346563,23C73,1347811,346563,65,134
1347811_346562,23C74,1347811,346562,66,134
1347811_346561,23C75,1347811,346561,67,134
1347811_346560,23C76,1347811,346560,68,134
1347811_346559,23C77,1347811,346559,69,134
1347811_346558,23C78,1347811,346558,70,134
1347811_346557,23C79,1347811,346557,71,134
1347811_346556,23C7A,1347811,346556,72,134
1347811_346555,23C7B,1347811,346555,73,134
1347811_346554,23C7C,1347811,346554,74,134
1347811_346553,23C7D,1347811,346553,75,134
1347811_346552,23C7E,1347811,346552,76,134
1347811_346551,23C7F,1347811,346551,77,134
1347811_346550,23C80,1347811,346550,78,134
1347811_346549,23C81,1347811,346549,79,134
1347811_346548,23C82,1347811,346548,80,134
1347811_346547,23C83,1347811,346547,81,134
1347811_346546,23C84,1347811,346546,82,134
1347811_346545,23C85,1347811,346545,83,134
1347811_346544,23C86,1347811,346544,84,134
1347811_346543,23C87,1347811,346543,85,134
1347811_346542,23C88,1347811,346542,86,134
1347811_346541,23C89,1347811,346541,87,134
1347811_346540,23C8A,1347811,346540,88,134
1347811_346539,23C8B,1347811,346539,89,134
1347811_346538,23C8C,1347811,346538,90,134
1347811_346537,23C8D,1347811,346537,91,134
1347811_346536,23C8E,1347811,346536,92,134
1347811_346535,23C8F,1347811,346535,93,134
1347811_346534,23C90,1347811,346534,94,134
1347811_346533,23C91,1347811,346533,95,134
1347811_346532,23C92,1347811,346532,96,134
1347811_346531,23C93,1347811,346531,97,134
1347811_346530,23C94,1347811,346530,98,134
1347811_346529,23C95,1347811,346529,99,134
1347811_346528,23C96,1347811,346528,100,134
1347811_346527,23C97,1347811,346527,101,134
1347811_346526,23C98,1347811,346526,102,134
1347811_346525,23C99,1347811,346525,103,134
1347811_346524,23C9A,1347811,346524,104,134
1347811_346523,23C9B,1347811,346523,105,134
1347811_346522,23C9C,1347811,346522,106,134
1347811_346521,23C9D,1347811,346521,107,134
1347811_346520,23C9E,1347811,346520,108,134
1347811_346519,23C9F,1347811,346519,109,134
1347811_346518,23CA0,1347811,346518,110,134
1347811_346517,23CA1,1347811,346517,111,134
1347811_346516,23CA2,1347811,346516,112,134
1347811_346515,23CA3,1347811,346515,113,134
1347811_346514,23CA4,1347811,346514,114,134
1347812_346628,23CA5,1347812,346628,0,135
1347812_346627,23CA6,1347812,346627,1,135
1347812_346626,23CA7,1347812,346626,2,135
1347812_346625,23CA8,1347812,346625,3,135
1347812_346624,23CA9,1347812,346624,4,135
1347812_346623,23CAA,1347812,346623,5,135
1347812_346622,23CAB,1347812,346622,6,135
1347812_346621,23CAC,1347812,346621,7,135
1347812_346620,23CAD,1347812,346620,8,135
1347812_346619,23CAE,1347812,346619,9,135
1347812_346618,23CAF,1347812,346618,10,135
1347812_346617,23CB0,1347812,346617,11,135
1347812_346616,23CB1,1347812,346616,12,135
1347809_346598,23B6A,1347809,346598,30,132
1347809_346597,23B6B,1347809,346597,31,132
1347809_346596,23B6C,1347809,346596,32,132
1347809_346595,23B6D,1347809,346595,33,132
1347809_346594,23B6E,1347809,346594,34,132
1347809_346593,23B6F,1347809,346593,35,132
1347809_346592,23B70,1347809,346592,36,132
1347809_346591,23B71,1347809,346591,37,132
1347809_346590,23B72,1347809,346590,38,132
1347809_346589,23B73,1347809,346589,39,132
1347809_346588,23B74,1347809,346588,40,132
1347809_346587,23B75,1347809,346587,41,132
1347809_346586,23B76,1347809,346586,42,132
1347809_346585,23B77,1347809,346585,43,132
1347809_346584,23B78,1347809,346584,44,132
1347809_346583,23B79,1347809,346583,45,132
1347809_346582,23B7A,1347809,346582,46,132
1347809_346581,23B7B,1347809,346581,47,132
1347809_346580,23B7C,1347809,346580,48,132
1347809_346579,23B7D,1347809,346579,49,132
1347809_346578,23B7E,1347809,346578,50,132
1347809_346577,23B7F,1347809,346577,51,132
1347809_346576,23B80,1347809,346576,52,132
1347809_346575,23B81,1347809,346575,53,132
1347809_346574,23B82,1347809,346574,54,132
1347809_346573,23B83,1347809,346573,55,132
1347809_346572,23B84,1347809,346572,56,132
1347809_346571,23B85,1347809,346571,57,132
1347809_346570,23B86,1347809,346570,58,132
1347809_346569,23B87,1347809,346569,59,132
1347809_346568,23B88,1347809,346568,60,132
1347809_346567,23B89,1347809,346567,61,132
1347809_346566,23B8A,1347809,346566,62,132
1347809_346565,23B8B,1347809,346565,63,132
1347809_346564,23B8C,1347809,346564,64,132
1347809_346563,23B8D,1347809,346563,65,132
1347809_346562,23B8E,1347809,346562,66,132
1347809_346561,23B8F,1347809,346561,67,132
1347809_346560,23B90,1347809,346560,68,132
1347809_346559,23B91,1347809,346559,69,132
1347809_346558,23B92,1347809,346558,70,132
1347809_346557,23B93,1347809,346557,71,132
1347809_346556,23B94,1347809,346556,72,132
1347809_346555,23B95,1347809,346555,73,132
1347809_346554,23B96,1347809,346554,74,132
1347809_346553,23B97,1347809,346553,75,132
1347809_346552,23B98,1347809,346552,76,132
1347809_346551,23B99,1347809,346551,77,132
1347809_346550,23B9A,1347809,346550,78,132
1347809_346549,23B9B,1347809,346549,79,132
1347809_346548,23B9C,1347809,346548,80,132
1347809_346547,23B9D,1347809,346547,81,132
1347809_346546,23B9E,1347809,346546,82,132
1347809_346545,23B9F,1347809,346545,83,132
1347809_346544,23BA0,1347809,346544,84,132
1347809_346543,23BA1,1347809,346543,85,132
1347809_346542,23BA2,1347809,346542,86,132
1347809_346541,23BA3,1347809,346541,87,132
1347809_346540,23BA4,1347809,346540,88,132
1347809_346539,23BA5,1347809,346539,89,132
1347809_346538,23BA6,1347809,346538,90,132
1347809_346537,23BA7,1347809,346537,91,132
1347809_346536,23BA8,1347809,346536,92,132
1347809_346535,23BA9,1347809,346535,93,132
1347809_346534,23BAA,1347809,346534,94,132
1347809_346533,23BAB,1347809,346533,95,132
1347809_346532,23BAC,1347809,346532,96,132
1347809_346531,23BAD,1347809,346531,97,132
1347809_346530,23BAE,1347809,346530,98,132
1347809_346529,23BAF,1347809,346529,99,132
1347809_346528,23BB0,1347809,346528,100,132
